name,bars,stripes,colours,red,green,blue,gold/yellow,white,black,orange/brown,mainhue,circles,crosses,saltires,quarters,sunstars,crescent,triangle,icon,animate,text,topleft,botright
Afghanistan,0,3,4,1,1,0,0,1,1,0,none,0,0,0,0,0,0,0,1,0,1,black,green
Albania,0,0,2,1,0,0,0,0,1,0,red,0,0,0,0,0,0,0,0,1,0,red,red
Algeria,2,0,3,1,1,0,0,1,0,0,none,0,0,0,0,1,1,0,0,0,0,green,white
Andorra,3,0,3,1,0,1,1,0,0,0,none,0,0,0,0,0,0,0,1,1,0,blue,red
Angola,0,2,3,1,0,0,1,0,1,0,none,0,0,0,0,1,0,0,1,0,0,red,black
Antigua-Barbuda,0,1,5,1,0,1,1,1,1,0,red,0,0,0,0,1,0,1,0,0,0,black,red
Argentina,0,3,3,0,0,1,1,1,0,0,blue,0,0,0,0,1,0,0,0,0,0,blue,blue
Armenia,3,0,3,1,0,1,0,0,0,1,none,0,0,0,0,0,0,0,0,0,0,red,orange
Australia,0,0,3,1,0,1,0,1,0,0,blue,0,1,1,1,6,0,0,0,0,0,white,blue
Austria,0,3,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,red,red
Azerbaijan,0,3,4,1,1,1,0,1,0,0,none,0,0,0,0,1,1,0,0,0,0,blue,green
Bahamas,0,3,3,0,0,1,1,0,1,0,blue,0,0,0,0,0,0,1,0,0,0,blue,blue
Bahrain,0,0,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,0,0,0,white,red
Bangladesh,0,0,2,1,1,0,0,0,0,0,green,1,0,0,0,0,0,0,0,0,0,green,green
Barbados,3,0,3,0,0,1,1,0,1,0,blue,0,0,0,0,0,0,0,1,0,0,blue,blue
Belarus,1,2,3,1,1,0,0,1,0,0,red,0,0,0,0,0,0,0,1,0,0,red,green
Belgium,3,0,3,1,0,0,1,0,1,0,none,0,0,0,0,0,0,0,0,0,0,black,red
Belize,0,3,4,1,1,1,0,1,0,0,blue,1,0,0,0,0,0,0,1,1,1,red,red
Benin,1,2,3,1,1,0,1,0,0,0,none,0,0,0,0,0,0,0,0,0,0,green,red
Bhutan,0,0,4,0,0,0,1,1,1,1,none,0,0,0,0,0,0,0,0,1,0,yellow,orange
Bolivia,0,3,3,1,1,0,1,0,0,0,none,0,0,0,0,0,0,0,0,0,0,red,green
Bosnia and Herzegovina,0,0,3,0,0,1,1,1,0,0,blue,0,0,0,0,7,0,1,0,0,0,blue,blue
Botswana,0,5,3,0,0,1,0,1,1,0,blue,0,0,0,0,0,0,0,0,0,0,blue,blue
Brazil,0,0,4,0,1,1,1,1,0,0,green,1,0,0,0,27,0,0,0,0,1,green,green
Brunei,0,0,4,1,0,0,1,1,1,0,gold,0,0,0,0,0,1,0,1,1,1,gold,gold
Bulgaria,0,3,3,1,1,0,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,white,red
Burkina Faso,0,2,3,1,1,0,1,0,0,0,none,0,0,0,0,1,0,0,0,0,0,red,green
Burundi,0,0,3,1,1,0,0,1,0,0,red,1,0,1,0,3,0,1,0,0,0,white,white
Cambodia,0,3,4,1,0,1,0,1,1,0,none,0,0,0,0,0,0,0,1,0,0,blue,blue
Cameroon,3,0,3,1,1,0,1,0,0,0,gold,0,0,0,0,1,0,0,0,0,0,green,gold
Canada,2,0,2,1,0,0,0,1,0,0,red,0,0,0,0,0,0,0,1,0,0,red,red
Cape-Verde-Islands,0,5,4,1,0,1,1,1,0,0,blue,0,0,0,0,10,0,0,0,0,0,blue,blue
Central-African-Republic,1,4,5,1,1,1,1,1,0,0,none,0,0,0,0,1,0,0,0,0,0,blue,gold
Chile,0,2,3,1,0,1,0,1,0,0,red,0,0,0,1,1,0,0,0,0,0,blue,red
China,0,0,2,1,0,0,1,0,0,0,red,0,0,0,0,5,0,0,0,0,0,red,red
Colombia,0,3,3,1,0,1,1,0,0,0,gold,0,0,0,0,0,0,0,0,0,0,gold,red
Comorro-Islands,0,4,5,1,1,1,1,1,0,0,none,0,0,0,0,4,1,1,0,0,0,green,blue
Congo,0,0,3,1,1,0,1,0,0,0,none,0,0,0,0,0,0,0,0,0,0,green,red
Costa-Rica,0,5,3,1,0,1,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,blue,blue
Croatia,0,3,3,1,0,1,0,1,0,0,none,0,0,0,0,0,0,0,1,1,0,red,blue
Cuba,0,5,3,1,0,1,0,1,0,0,blue,0,0,0,0,1,0,1,0,0,0,blue,blue
Cyprus,0,0,3,0,1,0,1,1,0,0,white,0,0,0,0,0,0,0,1,0,1,white,white
Czech Republic,0,2,3,1,0,1,0,1,0,0,none,0,0,0,0,0,0,1,0,0,0,white,red
Denmark,0,0,2,1,0,0,0,1,0,0,red,0,1,0,0,0,0,0,0,0,0,red,red
Djibouti,0,0,4,1,1,1,0,1,0,0,none,0,0,0,0,1,0,1,0,0,0,blue,green
Dominica,0,0,6,1,1,1,1,1,1,0,green,1,1,0,0,10,0,0,0,1,0,green,green
Dominican-Republic,0,0,4,1,1,1,0,1,0,0,none,0,1,0,0,0,0,0,1,0,1,blue,blue
DR Congo,0,0,3,1,0,1,1,0,0,0,blue,0,0,0,0,1,0,0,0,0,0,blue,blue
East Timor,0,0,4,1,0,0,1,1,1,0,red,0,0,0,0,1,0,1,0,0,0,red,red
Ecuador,0,3,3,1,0,1,1,0,0,0,gold,0,0,0,0,0,0,0,0,1,0,gold,red
Egypt,0,3,4,1,0,0,1,1,1,0,none,0,0,0,0,0,0,0,0,1,1,red,black
El-Salvador,0,3,3,0,0,1,1,1,0,0,blue,0,0,0,0,0,0,0,1,0,1,blue,blue
Equatorial-Guinea,0,3,7,1,1,1,1,1,1,1,none,0,0,0,0,6,0,1,1,0,1,green,red
Eritrea,0,0,4,1,1,1,1,0,0,0,red,0,0,0,0,0,0,0,1,0,0,green,red
Estonia,0,3,3,0,0,1,0,1,1,0,none,0,0,0,0,0,0,0,0,0,0,blue,white
Eswatini,0,5,5,1,0,1,1,1,1,0,none,0,0,0,0,0,0,0,1,0,0,blue,blue
Ethiopia,0,3,4,1,1,1,1,0,0,0,none,1,0,0,0,1,0,0,1,0,0,green,red
F.S. Micronesia,0,0,2,0,0,1,0,1,0,0,blue,0,0,0,0,4,0,0,0,0,0,blue,blue
Fiji,0,0,5,1,1,1,1,1,0,0,blue,0,2,1,1,0,0,0,1,1,0,white,blue
Finland,0,0,2,0,0,1,0,1,0,0,white,0,1,0,0,0,0,0,0,0,0,white,white
France,3,0,3,1,0,1,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,blue,red
Gabon,0,3,3,0,1,1,1,0,0,0,none,0,0,0,0,0,0,0,0,0,0,green,blue
Gambia,0,5,4,1,1,1,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,red,green
Georgia,0,0,2,1,0,0,0,1,0,0,white,0,4,0,0,0,0,0,0,0,0,white,white
Germany,0,3,3,1,0,0,1,0,1,0,none,0,0,0,0,0,0,0,0,0,0,black,gold
Ghana,0,3,4,1,1,0,1,0,1,0,none,0,0,0,0,1,0,0,0,0,0,red,green
Greece,0,9,2,0,0,1,0,1,0,0,blue,0,1,0,1,0,0,0,0,0,0,blue,blue
Grenada,0,0,3,1,1,0,1,0,0,0,none,1,0,0,0,7,0,1,1,0,0,red,red
Guatemala,3,0,2,0,0,1,0,1,0,0,blue,0,0,0,0,0,0,0,1,1,1,blue,blue
Guinea,3,0,3,1,1,0,1,0,0,0,none,0,0,0,0,0,0,0,0,0,0,red,green
Guinea-Bissau,1,2,4,1,1,0,1,0,1,0,none,0,0,0,0,1,0,0,0,0,0,red,green
Guyana,0,0,5,1,1,0,1,1,1,0,green,0,0,0,0,0,0,1,0,0,0,black,green
Haiti,0,2,3,1,0,1,0,1,0,0,none,0,0,0,0,0,0,0,1,0,0,blue,red
Honduras,0,3,2,0,0,1,0,1,0,0,blue,0,0,0,0,5,0,0,0,0,0,blue,blue
Hungary,0,3,3,1,1,0,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,red,green
Iceland,0,0,3,1,0,1,0,1,0,0,blue,0,1,0,0,0,0,0,0,0,0,blue,blue
India,0,3,4,0,1,1,0,1,0,1,none,1,0,0,0,0,0,0,1,0,0,orange,green
Indonesia,0,2,2,1,0,0,0,1,0,0,none,0,0,0,0,0,0,0,0,0,0,red,white
Iran,0,3,3,1,1,0,0,1,0,0,red,0,0,0,0,0,0,0,1,0,1,green,red
Iraq,0,3,4,1,1,0,0,1,1,0,none,0,0,0,0,0,0,0,0,0,1,red,black
Ireland,3,0,3,0,1,0,0,1,0,1,none,0,0,0,0,0,0,0,0,0,0,green,orange
Israel,0,2,2,0,0,1,0,1,0,0,white,0,0,0,0,1,0,0,0,0,0,white,white
